,,,,,,,Event Attributes,,,,,,,,,,,,,,,,,,,,,
Event Id,Release version,Priority,Dev done,QA verified,Tags,Environment,User Action,Page Name,Page Description,Page Id,Event Name,Event Linking Keys,pdata.id,pdata.ver,pdata.pid,edata.type,edata.subtype,edata.id,edata.pageid,env,edata.extra.values,context.cdata,"object.id
CP-EPUB9,,,,,,,When clicked on share content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,share,7,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322324696,""ver"":""3.0"",""mid"":""INTERACT:6ced40e0b7559a72d0155843284031c3"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""share"",""pageid"":""7""}}",
CP-EPUB10,,,,,,,When clicked on download in side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,download_menu,9,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649322997051,""ver"":""3.0"",""mid"":""INTERACT:01c64a3c887154aa23c121c411888477"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download_menu"",""pageid"":""9""}}",
CP-EPUB11,,,,,,,When clicked on download in pop up,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,download,9,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2132473634393948161725,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649323000334,""ver"":""3.0"",""mid"":""INTERACT:86bf37671d666da6a8987534b8ae5c63"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""apTUc3ZpDycy5tm4C6mkhZkifeRA0aRa"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_2132473634393948161725"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download"",""pageid"":""9""}}",
CP-EPUB12,,,,,,,When navigate from 1 page to different page using navigate,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,TOUCH,,navigate_to_page,1,contentplayer,,"[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""aLBWLrjxEpjBf8ztwtYlrKnF2rO32PNB"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21341647662186496011199,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649331727245,""ver"":""3.0"",""mid"":""INTERACT:0e739f2c88ac25f5eff28c75ed05e3df"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""35209e6a-d463-37c1-9672-6090ede5d245"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""DH2JihRQhD9quRLkIUroNLfTA2rEQeDC"",""type"":""ContentSession""},{""id"":""aLBWLrjxEpjBf8ztwtYlrKnF2rO32PNB"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{},""uid"":""anonymous""},""object"":{""id"":""do_21341647662186496011199"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""navigate_to_page"",""pageid"":""1""}}",
CP-PDF1,,,,,Pdf,,When open pdf content,,,,START,,staging.sunbird.portal,4.8.5,sunbird-portal,,,,,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to analyse player loading time,"{""eid"":""START"",""ets"":1649391659129,""ver"":""3.0"",""mid"":""START:761969ccd2b8ca47dd24a3c839f0cbb9"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983870156801292"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":"""",""duration"":2.52}}",
CP-PDF2,,,,,,,When open pdf content,,,,IMPRESSION,,staging.sunbird.portal,4.8.5,sunbird-portal,,,,2,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is will be used to get info about which page is loaded,"{""eid"":""IMPRESSION"",""ets"":1649391664780,""ver"":""3.0"",""mid"":""IMPRESSION:8a3b0963aa032d6b8afbecafae5e9806"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983870156801292"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""workflow"",""subtype"":"""",""pageid"":""2"",""uri"":""""}}",
CP-PDF3,,,,,,,When closes pdf content play,,,,END,,staging.sunbird.portal,4.8.5,sunbird-portal,,,,,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used analyse how much tie cuntennt playes and content consumption details,"{""eid"":""END"",""ets"":1649393134821,""ver"":""3.0"",""mid"":""END:abc214bec8669f93c0e7af4186df0897"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983870156801292"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":""sunbird-player-Endpage"",""summary"":[{""progress"":33},{""totallength"":9},{""visitedlength"":3},{""visitedcontentend"":false},{""totalseekedlength"":6},{""endpageseen"":false}],""duration"":1476.11}}",
CP-PDF4,,,,,,,When zoom pdf content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,zoom_in,3,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649400941365,""ver"":""3.0"",""mid"":""INTERACT:5a6e75b303455b68a1c757472ee8a07a"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""zoom_in"",""pageid"":""4""}}",
CP-PDF5,,,,,,,When zoom out pdf content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,zoom_out,3,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649403207487,""ver"":""3.0"",""mid"":""INTERACT:1b2768fff81cb8eacc3738e351ae4acc"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""zoom_out"",""pageid"":""4""}}",
CP-PDF6,,,,,,,When rotate pdf content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,rotation_change,3,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649403210246,""ver"":""3.0"",""mid"":""INTERACT:eece4a60666817f7eaadc1592cf12d05"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""rotation_change"",""pageid"":""4""}}",
CP-PDF7,,,,,,,When navigare to particular page from navigation of pdf content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,navigate_to_page,4,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649403217396,""ver"":""3.0"",""mid"":""INTERACT:ea4ddf8f5cc4d73c0bc7283cda7fdded"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""navigate_to_page"",""pageid"":""3""}}",
CP-PDF8,,,,,,,When click next page button in navigation of  pdf player,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,next,9,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649404488888,""ver"":""3.0"",""mid"":""INTERACT:d2042434ce1fcaf14920e67ed9a7f977"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""next"",""pageid"":""9""}}",
CP-PDF9,,,,,,,When click on reply in pdf player,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,replay,9,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649404752236,""ver"":""3.0"",""mid"":""INTERACT:3b3ec50435b4ca7048ac4a4811c363d6"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""jGDYofl942FMgW2tgg4sHWa39iJboQqr"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""replay"",""pageid"":""9""}}",
CP-PDF10,,,,,,,When click on print button in side menu in pdf player,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,,print,4,contentplayer,,"[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""lPl4CY5ply2KXo7shzJKv4RQitxIGzxP"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_2133773983870156801292,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649404970906,""ver"":""3.0"",""mid"":""INTERACT:783479127cd4b2fe3e49c1ecb3e58888"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""54e61dcc-82ec-6628-9427-aa4fc6144aea"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""wiL6vOdbAnW0Ve1L52qUt2w5jzaPibNy"",""type"":""ContentSession""},{""id"":""62LFLTjVFoANWFFNo9X1qVJQX6g58aQF"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_2133773983871139841300"",""ver"":""1"",""type"":""Content"",""rollup"":{}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""print"",""pageid"":""4""}}",
CP-PDF11,,,,,,,When clicked on share content(same as above),,,,,,,,,,,,,,,,,,,,,
CP-PDF12,,,,,,,When clicked on download in pop up(same as above),,,,,,,,,,,,,,,,,,,,,
CP-PDF13,,,,,,, When clicked on download in side menu(Same as above),,,,,,,,,,,,,,,,,,,,,
CP-PDF14,,,,,,,When clicked on open menu(same as above),,,,,,,,,,,,,,,,,,,,,
CP-PDF15,,,,,,,When clicked on close menu(same as above),,,,,,,,,,,,,,,,,,,,,
CP-VIDEO1,,,,,Video,,When start playing the content,,,,START,,staging.sunbird.portal,4.8.5,sunbird-portal,,,,,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21339735496488550411039,Content,1,,"{""eid"":""START"",""ets"":1649656005914,""ver"":""3.0"",""mid"":""START:64826361f098c9577714dd84ded6a6a8"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21339735496488550411039"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21339735496488550411039""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":"""",""duration"":0.77}}",
CP-VIDEO2,,,,,,,When closes/end the content play,,,,END,,staging.sunbird.portal,4.8.5,sunbird-portal,,,,,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21339735496488550411039,Content,1,,"{""eid"":""END"",""ets"":1649656478660,""ver"":""3.0"",""mid"":""END:f69bcd17941f7ceebca6a1f85404c6de"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21339735496488550411039"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21339735496488550411039""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""content"",""mode"":""play"",""pageid"":""sunbird-player-Endpage"",""summary"":[{""progress"":null},{},{""visitedlength"":null},{""visitedcontentend"":true},{""totalseekedlength"":2.372584},{""endpageseen"":false},{""score"":0}],""duration"":473.65}}",
CP-VIDEO3,,,,,,,When plays the content,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,,sunbird-player-Endpage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21339735496488550411039,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649656005922,""ver"":""3.0"",""mid"":""INTERACT:1ca0ec6b8d16444ee09e12478733d931"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21339735496488550411039"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21339735496488550411039""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""play"",""pageid"":""videostage""}}",
